VendorNumber,VendorName,Brand,Description,Volume,ActualPrice,PurchasePrice,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesAvgPrice,TotalSalesQuantity,TotalSalesDollars,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
480,BACARDI USA INC,4245,Bacardi Superior Rum,750.0,11.99,7.93,58816,466410.88,11.03351851851852,58320,643474.8,45919.42,89286.27,177063.92000000004,27.516838266238246,0.9915669205658324,1.379630766760844,7.93,Large,3933.2799999999997
9165,ULTRA BEVERAGE COMPANY LLP,36378,MezzaCorona Pnt Grigio,1500.0,9.97,6.83,68084,465013.72,10.355181337897166,67195,695816.41,15097.470000000001,68054.7,230802.69000000006,33.1700555898071,0.9869426003172551,1.496335226410094,6.829999999999999,Large,6071.87
3664,WILLIAM GRANT & SONS INC,4198,Sailor Jerry Spiced Navy Rum,1750.0,24.99,17.51,25998,455224.98,25.024118567454796,23008,575754.9199999999,42276.159999999996,30234.420000000002,120529.93999999994,20.934244035639324,0.8849911531656282,1.2647700484274829,17.509999999999998,Large,52354.9
10000,MAJESTIC FINE WINES,24325,La Crema Chard Sonoma Cst,750.0,15.99,10.88,41274,449061.12,16.713335110569478,39387,658288.13,4415.6,17587.59,209227.01,31.783500334420435,0.9542811455153365,1.4659210087036705,10.879999999999999,Large,20530.56
17035,PERNOD RICARD USA,5735,Malibu Rum,750.0,11.99,9.29,48121,447044.09,12.860996842580064,46557,598769.43,36656.77,123780.22,151725.34000000003,25.33952676909374,0.9674985972860082,1.3393968143052737,9.290000000000001,Large,14529.56
2555,DISARONNO INTERNATIONAL LLC,5311,Amaretto DiSaronno,1750.0,31.99,23.7,18409,436293.3,36.30649978232477,18376,667168.24,33767.5,5861.03,230874.94,34.60520542764446,0.9982073985550546,1.5291737003524923,23.7,Large,782.1
1392,CONSTELLATION BRANDS INC,19748,Clos du Bois Chard,1500.0,13.99,9.2,47153,433807.6,15.237048557598385,46069,701955.59,10347.03,79528.99,268147.99,38.20013599435828,0.977011006722796,1.6181265381242744,9.2,Large,9972.8
8112,MOET HENNESSY USA INC,3668,Belvedere Polish Vodka,1750.0,42.99,34.12,12713,433767.56,43.90365198886889,12218,536414.8200000001,22452.64,48347.26,102647.26000000007,19.135798671632536,0.9610634783292693,1.236641163299533,34.12,Large,16889.399999999998
2561,EDRINGTON AMERICAS,2520,The Macallan 12 Yr Old,750.0,62.99,42.21,10227,431681.67,58.894252033357354,9713,572039.87,7651.83,9654.5,140358.2,24.5364365948828,0.949740881979075,1.325142830363865,42.21,Large,21695.94
3960,DIAGEO NORTH AMERICA INC,8202,Sambuca Romana,750.0,17.99,13.33,32375,431558.75,19.07159416645713,31816,606781.84,25052.7,257032.07,175223.08999999997,28.877444651276967,0.9827335907335907,1.4060237221467529,13.33,Large,7451.47
